,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,Khabary,53.6259,79.5345,275.41,99,100,2.24,RU,1618437222
331,Yabēlo,4.8833,38.0833,289.4,79,85,1.4,ET,1618437238
332,Port Elizabeth,-33.918,25.5701,289.15,100,40,1.54,ZA,1618437254
333,Constantine,36.365,6.6147,285.15,94,75,1.54,DZ,1618437193
334,Manggar,-2.8833,108.2667,299.09,81,99,0.84,ID,1618437284
335,Maragogi,-9.0122,-35.2225,298.94,82,69,3.3,BR,1618437300
336,Cássia,-20.5831,-46.9219,293.65,75,64,1.84,BR,1618437315
337,Vitória,-20.3194,-40.3378,298.15,65,0,6.17,BR,1618437331
338,San Cristobal,7.7669,-72.225,302.15,65,40,4.12,VE,1618437346
339,Dimbokro,6.6451,-4.7048,298.48,85,75,2.37,CI,1618437362
340,Kang,-23.6752,22.7876,293.83,30,0,2.29,BW,1618437377
341,Solhan,38.9634,41.0293,277.82,74,2,1.62,TR,1618437393
342,Hambantota,6.1241,81.1185,298.15,100,20,1.54,LK,1618437409
343,Gáldar,28.147,-15.6502,294.15,68,40,7.2,ES,1618437424
344,Kurchum,48.5722,83.6542,277.29,59,100,4.37,KZ,1618437440
345,Colac,-38.3333,143.5833,283.71,98,98,4.44,AU,1618437455
346,Bathsheba,13.2167,-59.5167,301.15,61,20,3.6,BB,1618437471
347,Jati,24.3539,68.2671,298.79,68,3,5.15,PK,1618437487
348,Port-Cartier,50.0334,-66.8654,281.15,53,1,3.6,CA,1618437503
349,Carnarvon,-24.8667,113.6333,295.85,41,0,8.52,AU,1618437534
350,Xiuyan,40.2928,123.2744,278.2,72,74,1.94,CN,1618437550
351,Sinnamary,5.3833,-52.95,299.34,87,85,4.26,GF,1618437565
352,Manokwari,-0.8667,134.0833,299.51,71,100,1.36,ID,1618437596
353,Nouakchott,18.0858,-15.9785,296.15,73,51,7.72,MR,1618437412
